time,washer_x,washer_y,washer_z,dryer_x,dryer_y,dryer_z
1701539185335204446,0.11768,9.17902,4.11879,0.07845,9.10057,5.06023
1701539185440614237,0.07845,9.21825,4.11879,0.07845,9.06134,5.02100
1701539185546007028,0.07845,9.17902,4.04034,0.07845,9.06134,5.02100
1701539185651592817,0.11768,9.13980,4.04034,0.07845,9.06134,5.02100
1701539185757011608,0.11768,9.13980,4.04034,0.07845,9.02212,5.06023
1701539185862464398,0.11768,9.17902,4.11879,0.03923,9.06134,5.06023
1701539185967836190,0.15691,9.13980,4.04034,0.03923,9.06134,5.06023
1701539186073463977,0.11768,9.10057,4.04034,0.07845,9.02212,5.06023
1701539186178900753,0.07845,9.17902,4.07957,0.03923,9.10057,5.06023
1701539186284479528,0.15691,9.13980,4.07957,0.07845,9.06134,5.06023
1701539186389915304,0.15691,9.13980,4.07957,0.03923,9.06134,5.06023
1701539186495309080,0.15691,9.13980,4.04034,0.07845,9.06134,5.02100
1701539186600870855,0.11768,9.17902,4.07957,0.11768,9.06134,5.06023
1701539186706239632,0.15691,9.17902,4.04034,0.07845,9.06134,5.02100
1701539186811852406,0.11768,9.10057,4.04034,0.07845,9.10057,5.06023
1701539186917756176,0.15691,9.13980,4.07957,0.07845,9.06134,5.06023
1701539187023395949,0.11768,9.17902,4.04034,0.07845,9.06134,5.02100
1701539187128740712,0.15691,9.13980,4.00111,0.07845,9.06134,4.98178
1701539187234360471,0.15691,9.13980,4.04034,0.07845,9.02212,5.06023
1701539187339797233,0.11768,9.13980,4.07957,0.03923,9.10057,5.02100
1701539187445210995,0.11768,9.17902,4.07957,0.07845,9.06134,5.02100
1701539187550880753,0.11768,9.13980,4.04034,0.07845,9.02212,5.02100
1701539187656278515,0.11768,9.13980,4.04034,0.03923,9.10057,5.02100
1701539187761898275,0.15691,9.13980,4.04034,0.03923,9.10057,5.02100
1701539187867373036,0.07845,9.17902,4.07957,0.07845,9.06134,5.02100
1701539187972801797,0.11768,9.13980,4.07957,0.07845,9.06134,5.06023
1701539188078188555,0.11768,9.17902,4.07957,0.07845,9.06134,5.06023
1701539188183883300,0.15691,9.13980,4.04034,0.07845,9.10057,5.06023
1701539188289290047,0.15691,9.13980,4.07957,0.03923,9.06134,5.02100
1701539188394874792,0.11768,9.17902,4.04034,0.07845,9.02212,5.02100
1701539188500342539,0.11768,9.13980,4.04034,0.07845,9.06134,5.06023
1701539188605737287,0.11768,9.17902,4.07957,0.07845,9.06134,5.02100
1701539188711202033,0.11768,9.13980,4.04034,0.03923,9.10057,5.06023
1701539188816580781,0.11768,9.13980,4.04034,0.07845,9.10057,5.06023
